,Unnamed: 0,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
1,53764,"M. Butler, Martin Neil Butler",33,56,67,Unknown,53805,180,74,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,69919,"H. Cuellar, Héctor Manuel Cuellar Rosales",23,67,73,2027,69960,180,74,,CM,,1500000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,2826,"Isaac, Isaac Romero Bernal",24,73,80,2025,69967,184,70,73.0,CF,9.0,6000000,23000,€9.7M,353.0,,,,,,323.0,,,,,,328.0,,,,,,351.0,,,,,,243.0,,,,,,,32.0,,,,48.0,,,,,,1678.0,353.0,1.0,68.0,72.0,67.0,69.0,17.0,0
2,69927,"G. Lescano, Gustavo Ángel Lescano",22,60,71,2025,69968,187,75,,GK,,475000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,69928,"J. Zozaya, Juan Pablo Zozaya",22,63,71,2027,69969,187,82,,GK,,925000,5000,,,10.0,5.0,13.0,18.0,8.0,,14.0,11.0,10.0,21.0,14.0,,25.0,28.0,36.0,60.0,35.0,,44.0,62.0,30.0,77.0,8.0,,23.0,13.0,4.0,57.0,18.0,41.0,,7.0,13.0,11.0,,61.0,59.0,58.0,64.0,68.0,,,,,,,,,1
4,69931,"T. Harper, Taiga Oliver Harper",19,52,70,2025,69972,184,76,,GK,,180000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,69933,"Alexandre Castro, Alexandre Castro de Araújo",21,58,66,2024,69974,180,75,,GK,,400000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,69945,"R. Mitchell, Roald Mitchell",21,50,61,2026,69986,185,68,,CF,,110000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,1381,"S. Mayulu, Senny Mayulu",18,69,83,2027,70004,183,69,66.0,CAM,20.0,2800000,27000,€3.7M,270.0,,,,,,330.0,,,,,,332.0,,,,,,296.0,,,,,,281.0,,,,,,,139.0,,,,37.0,,,,,,1685.0,365.0,1.0,73.0,60.0,62.0,69.0,48.0,0
8,69966,"S. Andersen, Silas Andersen",20,60,74,2026,70007,190,76,,CDM,,550000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,69970,"Y. Fofana, Yaya Kader Fofana",20,68,79,2029,70011,180,68,,CAM,,2600000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,69973,"E. Zuliani, Edhy Yvan Zuliani",19,62,77,2025,70014,175,68,,LM,,950000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,69975,"Ricardo Coutinho, Ricardo Coutinho da Silva",18,59,71,2027,70016,176,65,,RM,,525000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,69983,"M. Salamon, Matteo Salamon",20,54,69,2025,70024,193,86,,GK,,230000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,69985,"C. Ashford, Cian Ty Ashford",19,60,74,2027,70026,179,72,,CF,,600000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,69986,"Pleguezuelo, Xavier Pleguezuelo Selva",21,63,74,2025,70027,178,70,,LB,,1000000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,69989,"J. Adams, Joe Adams",20,60,70,2025,70030,178,77,,CAM,,550000,6000,,,50.0,55.0,52.0,59.0,46.0,,61.0,54.0,49.0,58.0,60.0,,73.0,72.0,72.0,54.0,69.0,,58.0,67.0,70.0,67.0,56.0,,49.0,44.0,57.0,60.0,52.0,55.0,,45.0,48.0,39.0,,11.0,10.0,10.0,12.0,12.0,,,,,,,,,1
16,70008,"K. Mutandwa, Kingstone Mutandwa",21,63,74,2028,70049,180,76,,CF,,1100000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17,70021,"Liu Pujin, Liu Pujin刘谱锦",35,55,55,2024,70062,181,70,,CB,,35000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
18,70029,"S. Leonardi, Simone Leonardi",18,61,76,2029,70070,183,75,,CF,,775000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,70037,"F. Ajago, Forster Ajago",22,53,61,2025,70078,188,81,,CF,,210000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,70039,"E. Wahl, Elis Wahl",19,53,68,2025,70080,186,78,,GK,,190000,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,70042,"U. Aras, Umit Aras",29,54,54,2025,70083,183,80,,CB,,90000,2000,,,26.0,21.0,44.0,48.0,25.0,,32.0,27.0,24.0,34.0,32.0,,58.0,56.0,54.0,48.0,57.0,,35.0,52.0,60.0,67.0,16.0,,49.0,55.0,24.0,33.0,38.0,38.0,,52.0,61.0,60.0,,7.0,12.0,9.0,12.0,13.0,,,,,,,,,1
22,70043,"A. Douglas, Alex Raymond Douglas",22,67,76,2027,70084,190,81,,CB,,2100000,6000,,,40.0,27.0,62.0,68.0,29.0,,62.0,31.0,28.0,66.0,61.0,,68.0,63.0,62.0,69.0,53.0,,46.0,76.0,65.0,76.0,25.0,,63.0,66.0,43.0,37.0,37.0,63.0,,68.0,68.0,62.0,,11.0,12.0,6.0,13.0,12.0,,,,,,,,,0
23,70055,"P. Åslund, Patric Karl Emil Åslund",21,64,72,2028,70096,183,77,,CAM,,1300000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,70058,"O. Sanderson, Oliver Sanderson",20,60,69,2025,70099,183,77,,CF,,550000,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,70065,"S. Babicka, Shavy Warren Babicka",24,71,76,2027,70106,179,75,,RM,,2800000,16000,,,67.0,69.0,62.0,70.0,45.0,,68.0,58.0,44.0,65.0,71.0,,83.0,84.0,70.0,66.0,65.0,,63.0,81.0,68.0,72.0,58.0,,47.0,35.0,66.0,69.0,53.0,68.0,,29.0,39.0,28.0,,10.0,10.0,9.0,9.0,9.0,,,,,,,,,1
26,70074,"Erick, Erick Nunes Barbosa dos Santos",20,61,73,2025,70115,176,70,,CDM,,750000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,70080,"L. Begby, Ludvig Begby",27,57,57,2025,70121,170,65,,LM,,170000,3000,,,56.0,47.0,35.0,58.0,48.0,,55.0,41.0,34.0,54.0,58.0,,69.0,62.0,47.0,47.0,84.0,,52.0,37.0,48.0,42.0,38.0,,45.0,16.0,56.0,58.0,53.0,54.0,,27.0,31.0,23.0,,9.0,11.0,15.0,7.0,13.0,,,,,,,,,0
28,70083,"J. Magnússon, Júlíus Magnússon",26,64,69,2026,70124,178,76,,CDM,,775000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,70102,"L. Tahwildaran, Liam Jonatan Tahwildaran",20,56,68,2025,70143,178,75,,RM,,325000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
30,70104,"M. Tanikawa, Momoko Tanikawa谷川 萌々子",19,73,85,2026,70145,169,57,,CAM,,50000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,70105,"P. Neagu, Petru Neagu",24,61,64,2025,70146,185,75,,CF,,450000,5000,,,59.0,62.0,58.0,62.0,59.0,,64.0,48.0,45.0,57.0,62.0,,68.0,67.0,66.0,55.0,58.0,,67.0,66.0,54.0,62.0,57.0,,44.0,21.0,56.0,57.0,59.0,54.0,,20.0,19.0,23.0,,11.0,14.0,15.0,14.0,6.0,,,,,,,,,1
32,70106,"E. Minda, Ethan Gabriel Minda Humanante",19,60,71,2025,70147,189,70,,GK,,450000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,70107,"V. Szabó, Viktória Szabó",27,67,67,2025,70148,170,60,,CM,,10000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
34,70108,"S. Fukuda, Shio Fukuda福田 師王",20,64,77,2026,70149,178,70,,CF,,1400000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,70119,"T. Yegbe, Terry Yegbe",23,70,79,2028,70160,195,87,,CB,,2100000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,70136,"A. Hammond, Aydan Johnathan Hammond",20,54,67,2026,70177,175,65,,CF,,250000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
37,70144,"D. Hickson, David Hickson Gyedu",26,62,63,2026,70185,180,72,,LB,,425000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,70151,"H. Matthews, Hayden John Matthews",20,60,72,2029,70192,195,85,,CB,,550000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
39,70173,"Y. Murillo, Yeison Mena Murillo",30,65,65,2024,70214,193,88,,CB,,575000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,70176,"N. Jones, Nathaniel Jones",22,55,61,2024,70217,190,84,,CB,,180000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,70187,"J. Gardner, Joseph Charles Gardner",19,54,72,2027,70228,178,70,,CF,,275000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,70190,"V. Cabañas, Víctor Ramón Cabañas",21,60,68,2025,70231,175,75,,RM,,525000,9000,,,56.0,54.0,48.0,55.0,30.0,,60.0,33.0,40.0,45.0,55.0,,78.0,75.0,70.0,51.0,76.0,,40.0,62.0,68.0,55.0,45.0,,50.0,50.0,62.0,50.0,55.0,45.0,,56.0,55.0,57.0,,10.0,9.0,13.0,6.0,12.0,,,,,,,,,1
43,70191,"L. Dent, Lily Dent",17,54,68,2025,70232,168,57,,CF,,4000,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,70199,"B. Ersoy, Burhan Ersoy",21,51,59,2025,70240,187,80,,CB,,120000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
45,70207,"S. Ashbee, Stanley Ashbee",17,56,77,2027,70248,187,82,,CB,,425000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,70236,"A. Lapage, Amando Lapage",19,62,69,2025,70277,187,80,,CB,,875000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
47,70243,"Daniel Azevedo, Daniel Grilo Azevedo",26,60,64,2025,70284,195,90,,GK,,275000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,70263,"M. Loeck, Melina Loeck",24,62,68,2027,70304,180,74,,GK,,9000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
49,70266,"D. Răilean, Dorian Răilean",30,61,61,2025,70307,185,75,,GK,,220000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,70268,"B. Franklin, Bea Franklin",23,68,75,2025,70309,178,67,,CAM,,15000,2000,,,57.0,60.0,66.0,71.0,54.0,,67.0,50.0,56.0,69.0,69.0,,67.0,67.0,69.0,70.0,69.0,,64.0,67.0,66.0,58.0,66.0,,66.0,69.0,66.0,68.0,50.0,57.0,,66.0,62.0,57.0,,12.0,8.0,14.0,12.0,6.0,,,,,,,,,0
51,70274,"S. Wändin, Sebastian Wändin",18,55,71,2027,70315,182,76,,RB,,300000,2000,,,49.0,31.0,48.0,48.0,34.0,,54.0,34.0,31.0,25.0,55.0,,68.0,62.0,53.0,54.0,61.0,,32.0,56.0,61.0,58.0,33.0,,53.0,48.0,52.0,31.0,31.0,40.0,,47.0,55.0,53.0,,11.0,9.0,10.0,6.0,5.0,,,,,,,,,1
52,70374,"E. Lepaul, Estéban Lepaul",24,70,75,2027,70415,177,71,,CF,,2400000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
53,70377,"Gabriel Tigrão, Gabriel Henrique de Souza de Oliveira",22,66,74,2027,70418,182,80,,CF,,2300000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
54,70378,"Italo, Italo Moreira Barcelos",26,71,72,2027,70419,190,87,,CM,,2200000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,70390,"N. Claa, Nicolás Cláa",19,59,71,2026,70431,188,82,,GK,,475000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,70391,"B. Hatton, Ben Hatton",18,55,69,2025,70432,177,70,,CAM,,300000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,70394,"F. Masuero, Facundo Andrés Masuero",24,62,70,2026,70435,190,81,,GK,,775000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
58,70396,"J. Fedorco, Juan Manuel Fedorco",23,68,76,2027,70437,185,80,,CB,,2500000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,70398,"M. Morro, Mateo Morro",18,61,76,2026,70439,185,78,,GK,,675000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60,70400,"A. Luna, Alex Nahuel Luna",20,68,77,2025,70441,174,71,,CAM,,2600000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61,70403,"M. Jones, Malachi Jones",20,61,70,2025,70444,178,68,,LM,,350000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,70405,"M. Forbes, Michael Forbes",20,56,70,2025,70446,188,76,,CB,,325000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
63,70421,"H. Güreler, Hamza Güreler",18,52,74,2026,70462,192,84,,CB,,240000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
64,70423,"O. Aksoy, Oğuzhan Aksoy",17,53,77,2025,70464,175,70,,RM,,300000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,70440,"A. Ciammaglichella, Aaron Ciammaglichella",19,62,79,2027,70481,180,72,,CAM,,1000000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
66,70443,"H. Stambaugh, Hannah Stambaughスタンボー 華",25,67,71,2025,70484,175,66,,GK,,15000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,70445,"S. Fox-Akande, Saul Fox-Akande",18,51,59,2025,70486,188,83,,CF,,120000,5000,,,39.0,52.0,47.0,40.0,46.0,,48.0,39.0,35.0,31.0,45.0,,66.0,69.0,53.0,47.0,59.0,,50.0,59.0,58.0,69.0,47.0,,46.0,20.0,50.0,41.0,51.0,45.0,,24.0,27.0,18.0,,12.0,8.0,7.0,6.0,10.0,,,,,,,,,1
68,70449,"A. Pfeiffer, Alex Pfeiffer",16,67,82,2026,70490,165,58,,CF,,25000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69,70450,"R. Núñez, Rafael Leonardo Núñez Mata",22,63,72,2027,70491,178,58,,CAM,,1100000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,70462,"D. Ngonzo, Dircssi Ngonzo",18,55,70,2027,70503,189,80,,CB,,275000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
71,70469,"P. Saltsfitz, Penelope Saltsfitz",24,67,73,2027,70510,166,63,,CM,,15000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,70473,"A. Padmanabhan, Ankith Padmanabhan",22,51,57,2025,70514,170,65,,CF,,90000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,70475,"M. Maksimov, Metodi MaksimovМетоди Максимов",21,61,71,2025,70516,178,78,,RM,,700000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,70478,"J. York, James York",19,53,67,2026,70519,182,77,,CAM,,190000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,70484,"R. Vega, Ronald Bryce Vega Guzmán",24,61,69,2025,70525,182,80,,CB,,675000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,70485,"D. Montenegro, D´Alessandro Josué Montenegro Guerrero",21,57,68,2025,70526,174,71,,CB,,350000,7000,,,25.0,19.0,55.0,35.0,20.0,,25.0,21.0,19.0,35.0,37.0,,62.0,63.0,55.0,59.0,71.0,,34.0,63.0,55.0,62.0,19.0,,50.0,55.0,28.0,25.0,28.0,38.0,,60.0,65.0,60.0,,8.0,14.0,6.0,6.0,10.0,,,,,,,,,1
77,70489,"C. Álvarez, César Manuel Álvarez Huamán",19,55,67,2025,70530,172,71,,CAM,,300000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,70491,"A. Hidalgo, Alexander Anderson Hidalgo Jorge",21,56,67,2026,70532,171,68,,CAM,,325000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,70492,"E. Pinillos, Germán Ernesto Pinillos Alberca",19,56,69,2025,70533,180,80,,GK,,300000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,70498,"L. Vennegoor of Hess., Lucas Vennegoor of Hesselink",18,61,80,2027,70539,192,73,,CF,,625000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,70500,"O. Pona, Oumar Kalifa Pona",18,57,72,2027,70541,195,72,,GK,,325000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,70521,"L. Loizou, Loizos Loizou",19,68,75,2026,70562,170,60,,CAM,,2300000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,70531,"R. Martínez, Rubén David Martínez",20,66,77,2026,70572,170,67,,CB,,1800000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,70533,"K. Oostenbrink, Koen Oostenbrink",24,55,58,2024,70574,190,71,,CDM,,160000,3000,,,35.0,39.0,45.0,58.0,20.0,,25.0,26.0,31.0,61.0,51.0,,51.0,49.0,37.0,39.0,48.0,,51.0,51.0,54.0,60.0,43.0,,41.0,60.0,38.0,50.0,41.0,48.0,,53.0,54.0,51.0,,9.0,8.0,9.0,14.0,14.0,,,,,,,,,1
85,70534,"G. Fraulo, Gustav Leone Fraulo",19,55,73,2028,70575,183,75,,CAM,,325000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,70536,"K. Gyamfi, Kingsley Gyamfi",20,58,75,2028,70577,185,77,,CB,,500000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,70543,"N. Masoud, Nayef Khaled Rashid Mubarak Masoudنايف خالد راشد مبارك مسعود",23,58,64,2029,70584,177,70,,CDM,,300000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,70550,"A. Barboza, Albert Enrique Barboza Portillo",23,60,67,2025,70591,180,76,,LB,,475000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,70551,"R. Steigleder, Regan Steigleder",25,68,71,2025,70592,170,63,,CB,,10000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
90,70563,"J. Mejía, Jhon Mejía",22,61,69,2027,70604,178,74,,CM,,725000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,70565,"J. Ochoa, José Luis Ochoa Machado",25,62,65,2025,70606,180,75,,CF,,525000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,70572,"C. Salazar, César Alfonso Salazar Nava",25,60,61,2025,70613,183,82,,CF,,325000,9000,,,25.0,64.0,68.0,54.0,50.0,,58.0,32.0,35.0,40.0,51.0,,55.0,58.0,49.0,63.0,66.0,,59.0,74.0,64.0,77.0,52.0,,48.0,18.0,60.0,42.0,54.0,46.0,,23.0,23.0,18.0,,11.0,12.0,10.0,12.0,14.0,,,,,,,,,1
